record_id,dataset_type,name,category,description,address,latitude,longitude,source_dataset
seat-1759479,public_seat,Seat - Unclassified - Riverside Quay (SOUTHBANK),Seat,Seat - Unclassified - Riverside Quay (SOUTHBANK),"Riverside Quay between Cook Street and Southgate Avenue, approximately 3m SW of Riverside Quay Reserve, 8-10 Riverside Quay, SOUTHBANK VIC 3006",-37.8213151,144.9640435,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1764809,public_seat,Seat - Unclassified - Wharfs Landing Park,Seat,Seat - Unclassified - Wharfs Landing Park,"Wharfs Landing, approximately 4m North of Wharfs Landing, 72-74 South Wharf Drive, DOCKLANDS VIC 3008",-37.8221389,144.93653,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769866,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - University Square,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - University Square,"University Square, approximately 36m NW of Melbourne Business School Limited, 176-180 Leicester Street, CARLTON VIC 3053",-37.8015842,144.9605725,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769867,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - University Square,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - University Square,"University Square, approximately 42m NW of Melbourne Business School Limited, 176-180 Leicester Street, CARLTON VIC 3053",-37.8014936,144.9605892,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769875,public_seat,Seat - Straight Seat - Wooden Battens - Type 2 - University Square,Seat,Seat - Straight Seat - Wooden Battens - Type 2 - University Square,"University Square, approximately 38m SE of The University of Melbourne, 131-137 Barry Street, CARLTON VIC 3053",-37.8010808,144.9599207,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769880,public_seat,Seat - Unclassified - University Square,Seat,Seat - Unclassified - University Square,"University Square, approximately 18m NW of Melbourne Business School Limited, 176-180 Leicester Street, CARLTON VIC 3053",-37.8016611,144.9607643,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769888,public_seat,Seat - Timber Bench - University Square,Seat,Seat - Timber Bench - University Square,"University Square, approximately 63m East of 141 Barry Street, CARLTON VIC 3053",-37.8007233,144.9603231,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769890,public_seat,Seat - Timber Bench - University Square,Seat,Seat - Timber Bench - University Square,"University Square, approximately 56m West of Graduate Union Of The University Of Melbourne Inc, 210-214 Leicester Street, CARLTON VIC 3053",-37.8007627,144.9604509,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769891,public_seat,Seat - Timber Bench - University Square,Seat,Seat - Timber Bench - University Square,"University Square, approximately 65m East of 141 Barry Street, CARLTON VIC 3053",-37.8007508,144.9603349,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
seat-1769894,public_seat,Seat - Timber Bench - University Square,Seat,Seat - Timber Bench - University Square,"University Square, approximately 63m East of 141 Barry Street, CARLTON VIC 3053",-37.8007758,144.9603138,street-furniture-including-bollards-bicycle-rails-bins-drinking-fountains-horse-
